date,REAINTRATREARAT1YE,CPIAUCSL_PC1,SPASTT01USM661N,FEDFUNDS,OT
1988-07-01,2.51976500,4.13005,15.0643700000000020,7.75,437.452
1988-08-01,3.23874260,4.11199,14.7806499999999996,8.01,431.064
1988-09-01,3.35833630,4.18483,15.0006100000000000,8.19,413.439
1988-10-01,3.11955320,4.26087,15.4846900000000005,8.30,406.390
1988-11-01,3.04382550,4.24610,15.1194100000000002,8.35,419.966
1988-12-01,3.27055190,4.41176,15.3843899999999998,8.76,419.248
1989-01-01,3.25220860,4.48276,15.8849199999999993,9.12,404.445
1989-02-01,3.41076590,4.64716,16.3477999999999994,9.36,387.973
1989-03-01,3.46650770,4.89270,16.3005600000000008,9.85,390.274
1989-04-01,4.05675830,5.03413,16.7725000000000009,9.84,384.720
1989-05-01,4.50635940,5.27660,17.3597799999999971,9.81,371.350
1989-06-01,4.45379320,5.16949,17.9009900000000002,9.53,367.727
1989-07-01,3.90232120,5.06329,18.3310899999999997,9.24,375.210
1989-08-01,3.73376290,4.62185,19.1066099999999999,8.99,365.548
1989-09-01,3.96956770,4.43515,19.1122499999999995,9.02,361.798
1989-10-01,3.93519170,4.58716,19.0624399999999987,8.84,366.800
1989-11-01,3.86269160,4.65503,18.6626800000000017,8.55,394.361
1989-12-01,3.92125370,4.63960,19.0752099999999984,8.45,409.655
1990-01-01,3.82224230,5.19802,18.5664799999999985,8.23,410.118
1990-02-01,3.36711840,5.26316,18.0775900000000007,8.24,416.543
1990-03-01,4.43179570,5.23732,18.4458299999999973,8.28,393.661
1990-04-01,4.52712990,4.71162,18.3814099999999989,8.26,374.929
1990-05-01,4.30626600,4.36540,18.9492300000000000,8.18,368.855
1990-06-01,3.72363800,4.67365,19.4770600000000016,8.29,352.657
1990-07-01,4.28931890,4.81928,19.4746899999999989,8.15,361.820
1990-08-01,3.90242770,5.70281,17.9686599999999999,8.13,394.861
1990-09-01,2.85327940,6.16987,17.1543200000000020,8.20,389.560
1990-10-01,2.57517710,6.37959,16.6420899999999996,8.11,381.333
